latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
46.857,-128.129,99.3546,528.0325255,0.440838903,9.086642265,103.1090389,-2728.13623,277.7574688
46.887,-127.99,112.7844,599.4068878,0.438705236,9.053964615,103.1090389,-2707.080078,267.1126875
46.917,-127.85,112.7844,599.4068878,0.436458766,9.019799232,103.1090389,-2699.724854,256.6055156
46.947,-127.71,112.7844,599.4068878,0.434542269,8.988255501,103.1090389,-2699.375977,246.1040313
46.976,-127.57,99.4437,528.5060587,0.432346255,8.956212997,103.1090389,-2682.810791,235.867
47.005,-127.43,111.5694,592.9496173,0.430316418,8.926018715,103.1090389,-2668.145508,225.062375
47.035,-127.29,112.7844,599.4068878,0.427730441,8.888142586,103.1090389,-2648.432129,214.6365156
47.064,-127.15,112.7844,599.4068878,0.425622433,8.853615761,103.1090389,-2619.927002,204.15875
47.093,-127.009,106.515,566.0873724,0.423215181,8.820425034,103.1090389,-2606.552979,193.9661563
47.122,-126.869,90.5823,481.4110332,0.420815527,8.785321236,103.1090389,-2577.178467,182.8831563
47.15,-126.728,110.16,585.4591837,0.417518884,8.742259979,103.1090389,-2545.500488,172.686125
47.179,-126.587,112.7844,599.4068878,0.413948119,8.694452286,103.1090389,-2544.283203,162.3353281
47.207,-126.446,112.7844,599.4068878,0.410367668,8.64689827,103.1090389,-2516.026367,151.9193906
47.236,-126.305,112.7844,599.4068878,0.406113237,8.589877129,103.1090389,-2484.003662,141.521625
47.264,-126.163,100.1322,532.1651786,0.401562691,8.536841393,103.1090389,-2383.113525,130.8158516
47.292,-126.022,112.7844,599.4068878,0.396905184,8.474290848,103.1090389,-1881.114868,120.7724688
47.32,-125.88,112.7844,599.4068878,0.391742408,8.40916729,103.1090389,-1737.658569,110.4173281
47.348,-125.738,112.7844,599.4068878,0.385950983,8.337450027,103.1090389,-1671.379883,100.0685391
47.376,-125.596,112.7844,599.4068878,0.379806995,8.258024216,103.1090389,-1350.344727,89.71489063
47.403,-125.454,112.7844,599.4068878,0.373292685,8.175153732,103.1090389,-1471.960449,79.34921094
47.431,-125.312,112.7844,599.4068878,0.366114229,8.072492599,92.78772721,-1281.19165,68.96065625
47.458,-125.17,112.7844,599.4068878,0.358440101,7.969156265,92.78772721,-749.0881958,58.52060156
47.485,-125.027,81.7776,434.6173469,0.350138366,7.862359524,92.78772721,-875.8037109,49.51530078
46.53,-129.189,43.4565,230.9550383,0.452711612,9.287903786,103.1090389,-2648.056641,360.1753125
46.56,-129.051,91.7406,487.5669643,0.451307684,9.267145157,103.1090389,-2687.338135,352.4633125
46.591,-128.913,104.1093,553.301977,0.449519902,9.237555504,103.1090389,-2717.121338,341.349375
